Name,Company,Position,Linkedin 
Elizabeth Yin,Hustle Fund,Co-Founder & General Partner,https://www.linkedin.com/in/elizabethyin/
Jesse Middleton,Flybridge,General Partner,https://www.linkedin.com/in/jmiddleton/
Geri Kirilova,Laconia,Managing Partner,https://www.linkedin.com/in/gerikirilova/
Pedro Vieira,500 Global,Partner,https://www.linkedin.com/in/santosvieira/
Jason Ball,Ball Ventures,Founder,https://www.linkedin.com/in/jasonball/?originalSubdomain=uk
Marie Therese Fam,Five 35 Ventures,Independent Investment Consultant,https://www.linkedin.com/in/marie-therese-fam-23725032/
Jeffrey Silverman,Laconia,Partner,https://www.linkedin.com/in/jeffreyleesilverman/
Qamar Aftab,Wa’ed Ventures,Investment Director,https://www.linkedin.com/in/qamaraftabcfa/
Ignacio Monereo,Boost Capital Partners,Partner,https://www.linkedin.com/in/ignacio-monereo/
Adam Bonnifield,Ocean Infinity,CTO,https://www.linkedin.com/in/bonnifield/
Giovanni Strocchi,Blacksheep Ventures,Co-founder & Partner,https://www.linkedin.com/in/gstrocchi/?originalSubdomain=it
Mergim Cahani,Gjirafa,Founder & CEO,https://www.linkedin.com/in/cahani/
Oleksandr Yaroshenko,Headway,Chief of Staff,https://www.linkedin.com/in/oyaroshenko/
Igor Strecko,Webglobe,Chair of the Board of Directors,https://www.linkedin.com/in/strecko/
Luise Gruner,Axel Springer Digital Ventures,Managing Director,https://www.linkedin.com/in/luise-gruner/?originalSubdomain=de
Jakub Krajcovic,Soitron,COO,https://www.linkedin.com/in/jakubkrajcovic/
Marek Zamecnik,Vestberry,CEO,https://www.linkedin.com/in/marek-zamecnik/
Kristina Moncekova,Zero One Hundred,Portfolio Success,https://www.linkedin.com/in/krist%C3%ADna-mon%C4%8Dekov%C3%A1-769022171/
Adam Durica,Zero One Hundred,General Partner,https://www.linkedin.com/in/adamdurica/
Michal Csonga,Zero One Hundred,General Partner,https://www.linkedin.com/in/michalcsonga/
